product_id,title,keyword,sort,page,position,sales,scraped_at
61820857,FlexSocial - Perfex AI Social Media Management and Marketing Module,perfex ai,relevance,1,1,35,2026-08-12T12:17:01+00:00
64257372,Perfex MCP - AI Integration Bridge for Perfex CRM,perfex ai,relevance,1,2,4,2026-08-12T12:17:01+00:00
63599831,TrackChat - Inbox for Perfex CRM with AI Agents,perfex ai,relevance,1,3,27,2026-08-12T12:17:01+00:00
45928441,PrediX - AI Module For Perfex CRM,perfex ai,relevance,1,4,192,2026-08-12T12:17:01+00:00
63853557,AI Assistant Module For Perfex CRM,perfex ai,relevance,1,5,1,2026-08-12T12:17:01+00:00
62237887,AI Reports Module for Perfex CRM,perfex ai,relevance,1,6,17,2026-08-12T12:17:01+00:00
64408383,FlexVisual — AI Visual Collaboration Boards for Perfex CRM,perfex ai,relevance,1,7,0,2026-08-12T12:17:01+00:00
62096561,AI Lead Scoring for Perfex CRM,perfex ai,relevance,1,8,17,2026-08-12T12:17:01+00:00
61890097,M ai lbox AI - Webm ai l + AI Assistant For Perfex CRM,perfex ai,relevance,1,9,51,2026-08-12T12:17:01+00:00
62402925,PulseChat - OmniChannel AI Customer Service module for Perfex CRM,perfex ai,relevance,1,10,52,2026-08-12T12:17:01+00:00
43421742,Perfex Ai Writer - AI Content Generator And AI Ticket Reply Module,perfex ai,relevance,1,11,166,2026-08-12T12:17:01+00:00
50559370,Em ai l Manager with AI Assistant for Perfex CRM,perfex ai,relevance,1,12,197,2026-08-12T12:17:01+00:00
59512445,Anna – AI Copilot & MCP Integration for Perfex CRM,perfex ai,relevance,1,13,27,2026-08-12T12:17:01+00:00
47387865,PublishX - AI Powered CMS For Perfex CRM,perfex ai,relevance,1,14,43,2026-08-12T12:17:01+00:00
59065356,AI -Powered Natural-Language Reporting Module for Perfex CRM,perfex ai,relevance,1,15,21,2026-08-12T12:17:01+00:00
58656663,FexCall – Smart AI Call Assistant & Lead Automation Module for Perfex CRM,perfex ai,relevance,1,16,51,2026-08-12T12:17:01+00:00
53052338,"WhatsBot - WhatsApp Marketing, Bot, Chat & AI Personal Assistant Module for Perfex CRM",perfex ai,relevance,1,17,399,2026-08-12T12:17:01+00:00
60345015,Open AI Agents & Workflows for Perfex CRM,perfex ai,relevance,1,18,31,2026-08-12T12:17:01+00:00
60448824,ParsePilot - Lightning OCR & Auto-Fill Toolkit for Perfex CRM,perfex ai,relevance,1,19,30,2026-08-12T12:17:01+00:00
52034853,Swiss QR Bill Module For Perfex CRM,perfex ai,relevance,1,20,28,2026-08-12T12:17:01+00:00
49529560,StyleFlow - Invoice Templates For Perfex CRM,perfex ai,relevance,1,21,20,2026-08-12T12:17:01+00:00
23555097,Perfex CRM Chat,perfex ai,relevance,1,22,1800,2026-08-12T12:17:01+00:00
63426906,D ai lyBrief — Staff D ai ly Digest for Perfex CRM,perfex ai,relevance,1,23,4,2026-08-12T12:17:01+00:00
53317745,Zapier module for Perfex CRM - Workflow Automation,perfex ai,relevance,1,24,176,2026-08-12T12:17:01+00:00
48680733,Synth AI - AI Module For Rise CRM,perfex ai,relevance,1,25,36,2026-08-12T12:17:01+00:00
47633218,"LiveSmart Server Video - Online Conference and Streaming, Live AI",perfex ai,relevance,1,26,205,2026-08-12T12:17:01+00:00
